id,name,slug,description,base_price_cents,category_id,sku,is_active
cc2c6483-21ff-40c9-b785-905dc0e7a07b,"Laser Engraved 4"" x 6"" Holliston Bamboo Photo Frame",laser-engraved-4-x-6-holliston-bamboo-photo-frame-cc2c,"Imported product: Laser Engraved 4"" x 6"" Holliston Bamboo Photo Frame",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-AD79F728,true
352ece93-3b9f-417d-a4e0-90edd445acac,Laser Engraved Sophisticated Stainless and Bamboo Bento Box,laser-engraved-sophisticated-stainless-and-bamboo-bento-box-352e,Imported product: Laser Engraved Sophisticated Stainless and Bamboo Bento Box,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-1DB6F291,true
3c6fc6be-3788-4cb5-af50-4444bd7d1343,Alpine Recycled Sherpa Blanket,alpine-recycled-sherpa-blanket-3c6f,Imported product: Alpine Recycled Sherpa Blanket,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-7A1D3ACA,true
e2aef7ff-431e-4aa2-93a3-b1536e60d467,Laser Engraved Harvest Lunch Set with Bamboo Lid,laser-engraved-harvest-lunch-set-with-bamboo-lid-e2ae,Imported product: Laser Engraved Harvest Lunch Set with Bamboo Lid,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-B1830CE1,true
b6fcee0e-ffa5-4a93-9847-ec955cd4ab50,Laser Engraved 3-Piece Bamboo Cheese Server Kit,laser-engraved-3-piece-bamboo-cheese-server-kit-b6fc,Imported product: Laser Engraved 3-Piece Bamboo Cheese Server Kit,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-7001BFE7,true
99de1062-1984-42ec-a899-dfd446ff542e,Laser Engraved Bamboo and Black Marble Cutting Board,laser-engraved-bamboo-and-black-marble-cutting-board-99de,Imported product: Laser Engraved Bamboo and Black Marble Cutting Board,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-79C5A370,true
2e370681-393d-410d-8ddc-f6240f467093,Laser Engraved Square Meal Bento Box,laser-engraved-square-meal-bento-box-2e37,Imported product: Laser Engraved Square Meal Bento Box,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-E0BDC410,true
1713646a-cc6a-475a-952a-c0b74fe933ed,Laser Engraved Rhein Bamboo Cutting Board,laser-engraved-rhein-bamboo-cutting-board-1713,Imported product: Laser Engraved Rhein Bamboo Cutting Board,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-D9B51867,true
d4f9d4fb-095b-4070-9980-118f7e70d4f1,Cobra Wraparound Polarized Sunglasses,cobra-wraparound-polarized-sunglasses-d4f9,Imported product: Cobra Wraparound Polarized Sunglasses,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-044AAFF2,true
dc6c3aff-df54-486f-9da6-91ff34c58072,Laser Engraved Bamboo Handheld Massager with Rollers,laser-engraved-bamboo-handheld-massager-with-rollers-dc6c,Imported product: Laser Engraved Bamboo Handheld Massager with Rollers,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-00ABC5A2,true
